dataset,recording_id,participant_id,event_count,sample_rate,duration_s
Kaggle,kaggle_A_A_331.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_332.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_333.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_334.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_335.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_336.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_337.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_338.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_339.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_34.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_340.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_341.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_342.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_343.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_344.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_345.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_346.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_347.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_348.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_349.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_35.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_350.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_351.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_352.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_353.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_354.wav,kaggle_participant,1,48000,0.4000208333333333
Kaggle,kaggle_A_A_355.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_356.wav,kaggle_participant,1,48000,0.36852083333333335
Kaggle,kaggle_A_A_36.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_37.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_38.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_39.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_4.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_40.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_41.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_42.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_43.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_44.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_45.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_46.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_47.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_48.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_49.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_5.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_50.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_51.wav,kaggle_participant,1,48000,0.39997916666666666
Kaggle,kaggle_A_A_52.wav,kaggle_participant,1,48000,0.4
Kaggle,kaggle_A_A_53.wav,kaggle_participant,1,48000,0.4
